AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Buzzati, Dino",Il segreto del Bosco Vecchio,Arnoldo Mondadori Editore,Oscar narrativa,1994,151
Platone,Platone. Pagine scelte e commentate,Corriere della sera,Filosofica - N. 1,2020,199
Platone,La Repubblica,Editori Laterza,Economica Laterza,2005,345
"Pearl, Matthew",Il Circolo Dante,Rizzoli Editore,Libri Oro Rizzoli,2005,534
"Crane, Stephen",Il segno rosso del coraggio,Garzanti Editore,i grandi libri Garzanti,1976,134
"Melville, Herman",Benito Cereno,La biblioteca di Repubblica,I grandi della narrativa - N. 8,2011,111
"Rigoni Stern, Mario",Il sergente nella neve,Giulio Einaudi editore,Letture per la scuola media,1965,175
"Manzoni, Alessandro",Adelchi,Garzanti Editore,i grandi libri Garzanti,1991,148
"Sciolochov, Michail",Il placido Don III. I rossi e i bianchi,Garzanti Editore,Garzanti per tutti - Romanzi e realtà,1966,433
"Ungaretti, Giuseppe","Vita, poetica, opere scelte",Il Sole 24 Ore,I grandi poeti - N. 1,2007,605
"Sepúlveda, Luis",La frontiera scomparsa,SuperPocket,Bestsellers,2004,125
"Kennedy, John Fitzgerald","Strategia di pace. I discorsi della ""nuova frontiera""",Arnoldo Mondadori Editore,I Record Mondadori,1965,310
"Rowling, J. K.",Harry Potter. E la pietra filosofale,Salani Editore,,2021,300
"Fenoglio, Beppe",La malora,Giulio Einaudi editore,Letture per la scuola media - N. 19,1974,348
"Calvino, Italo",Marcovaldo,Giulio Einaudi editore,Letture per la scuola media - N. 7,1974,148
"Hesse, Herman",Narciso e Boccadoro,Famiglia Cristiana,I Nobel della letteratura,2004,228
"Revelli, Nuto",Il mondo dei vinti. Testimonianze di vita contadina. 1. La pianura. La collina,Giulio Einaudi editore,Gli Struzzi,1977,167
"Revelli, Nuto",Il mondo dei vinti. Testimonianze di vita contadina. 2. La montagna. Le langhe,Giulio Einaudi editore,Gli Struzzi,1977,253
"Mancuso, Vito",Rifondazione della fede,Arnoldo Mondadori Editore,Oscar saggi,2009,293
"Mancuso, Vito","Il dolore innocente. L'handicap, la natura e Dio",Arnoldo Mondadori Editore,Oscar saggi,2009,2009
"James, Henry",La crespa Cornelia,Sellerio editore Palermo,Il divano,1998,88
"Flaubert, Gustave",Bouvard e Pécuchet,Garzanti Editore,i grandi libri Garzanti,1991,281
"Flaubert, Gustave",Dizionario dei luoghi comuni. Album della Marchesa. Catalogo delle idee chic,Adelphi Edizioni,Edizione speciale per Millelibri,1990,130
"Hemingway, Ernest",Verdi colline d'Africa,Arnoldo Mondadori Editore,Scrittori del Novecento,1997,255
"Shakespeare, William",Il mercante di Venezia. Testo a fronte,Arnoldo Mondadori Editore,Oscar classici,2012,199
"Salinger, Jerome David",Nove racconti,Giulio Einaudi editore,,1962,226
"Salinger, Jerome David",Franny e Zooey,Giulio Einaudi editore,,1963,175
"Kipling, Rudyard",Kim,Adelphi Edizioni,Biblioteca Adelphi,2000,349
"Senzaki, Nyogen - Reps, Paul",101 storie Zen,Adelphi Edizioni,Piccola Biblioteca Adelphi,2019,107
"Romani, Silvia",Afrodite. La primavera dell'amore,Arnoldo Mondadori Editore,Grandi Miti Greci - N. 3,2019,159
"Moro, Giovanni",Anni Settanta,Giulio Einaudi editore,Vele - N. 33,2007,152
"Battaglia, Romano",Sulla riva dei nostri pensieri,Rizzoli Editore,I libri di Romano Battaglia,2000,137
"Zola, Emile",L'Assommoir,Garzanti Editore,i grandi libri Garzanti,1995,492
"Eco, Umberto",Come si fa una tesi di laurea. Le materie umanistiche,Bompiani ,Tascabili Bompiani ,2008,249
"Bulatović, Miodrag",Il gallo rosso,Feltrinelli,Universale Economica,1962,280
"Bertè, Enrico",Poesie,Officine Grafiche Elli e Pagani,,1987,105
"Tolkien, John Ronald Reuel",Lo Hobbit. Annotato da Douglas A. Anderson,Bompiani ,I libri di Tolkien,2001,369
"Tolkien, John Ronald Reuel",Il Silmarillion,Bompiani ,I libri di Tolkien,2003,385
"Fenoglio, Beppe",Una questione privata - I ventitre giorni della città di Alba,Giulio Einaudi editore,Einaudi Tascabili. Classici moderni,2004,325
"Fenoglio, Beppe",Una questione privata,Giulio Einaudi editore,Super ET,2008,129
"Baricco, Alessandro",Mr Gwyn,Mondolibri,,2012,158
"Tabucchi, Antonio",tristano muore,Feltrinelli,I Narratori / Feltrinelli,2004,163
"Corona, Mauro",Una lacrima color turchese,Arnoldo Mondadori Editore,Scrittori italiani e stranieri,2014,92
"Eliot, Thomas Stearns",Assassinio nella cattedrale,Bompiani ,I grandi romanzi - Romanzi & Racconti,2000,173
"Twain, Mark",le avventure di Huckleberry Finn (compare di Tom Sawyer),La biblioteca dell'Espresso,I grandi romanzi - N. 5,2011,330
"Bellow, Saul",La resa dei conti,Famiglia Cristiana,I Nobel della letteratura,2004,111
"Wharton, Edith",L'età dell'innocenza,BUR - Biblioteca Universale Rizzoli,i grandi romanzi BUR,2007,324
"Donadei, Mario",Cronache partigiane. La banda di Valle Pesio,Edizioni l'Arciere Cuneo,Resistenza,1973,192
"Maida, Bruno",Non si è mai ex deportati. Una biografia di Lidia Rolfi Beccaria. In appendice gli inediti Taccuini dei Lager,UTET Libreria,,2008,191
"Tsu, Sun",L'arte della guerra,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 129,1994,94
Regola sanitaria salernitana,La regola sanitaria salernitana,Newton Compton editori,101 Pagine 1000 Lire 1 - TEN - N. 37,1993,86
Istituto Sorico della Resistenza e della società contemporanea in provincia di Cuneo,Deportazione e memoria della deportazione. In onore di Lidia Rolfi Beccaria,Rivista dell'istituto Sorico della Resistenza e della società contemporanea in provincia di Cuneo,Il presente e la storia - N. 65,2004,307
Istituto Sorico della Resistenza e della società contemporanea in provincia di Cuneo,Daniel Fauquier. Itinerario di un partigiano francese,Rivista dell'istituto Sorico della Resistenza e della società contemporanea in provincia di Cuneo,Il presente e la storia - N. 69,2006,421
"Nietzsche, Friedrich Wilhelm",La gaia scienza.,Newton Compton editori,Grandi Tascabili Economici Newton,1996,245
"Crichton, Michael",Jurassic Park,Edizione Euroclub Italia,,1991,427
"Calvino, Italo",la nuvola di smog - La formica argentina,Giulio Einaudi editore,Nuovi Coralli - N. 22,1972,127
"Revelli, Nuto",La strada del davai,Giulio Einaudi editore,Gli struzzi - N. 227,1980,601
"Machiavelli, Niccolò",Mandragola - Clizia,Feltrinelli,Universale Economica Feltrinelli / Classici,2015,251
"Veronesi, Sandro",La forza del passato,Edizione Mondolibri,,2000,250
"Dostoevskij, Fëdor M.",Le cento pagine più belle,Case Editrici,Ex Libris,1981,128
"Claude-Pierre, Peggy",Fame d'amore. Una nuova cura per l'anoressia,Arnoldo Mondadori Editore,Oscar saggi,2002,280
"Flaubert, Gustave",Madame Bovary,Editrice La Stampa,I Classici La Stampa - N. 4,2003,280
"Mallarmé, Stéphane",Tutte le poesie,Club del Libro Fratelli Melita,Gli immortali - N.7,1986,456
"Calabresi, Mario",Cosa tiene accese le stelle. Storie di italiani ce non hanno mai smesso di credere nel futuro,Arnoldo Mondadori Editore,Strade blu - Non fiction,2011,130
"Rowling, J. K.",Harry Potter. E la camera dei segreti,Adriano Salani Editore,,2021,324
"Fromm, Erich",Avere o essere?,Club Italiano dei Lettori,,1980,272
"Cassola, Carlo",L'antagonista,Rizzoli Editore,La Scala,1976,530
Langhe e Roero,Guida delle Langhe e del Roero,Slow Food Editore,,2000,284
"Steel, Daniel",Incontri,Sperling & Kupfer Editori,Donna Moderna,2006,448
Ulisse,Ulisse. Il viaggio della ragione,Corriere della sera,Grandi Miti Greci - N. 1,2021,152
