AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Fasser, Wolfgang; Orlandi, Massimo",Invisibile agli occhi,Fraternità di Romena,,2009,141
"Fayer, Dina",La Mamma in tasca,Edizioni Piemme,,2006,147
"Fenoglio, Beppe",Un giorno di fuoco e altri racconti,Garzanti,Letture per le Scuole Medie,1971,170
"Ferri, Edgarda","Io, Caterina. La vita di una donna, il mistero di una santa",Arnoldo Mondadori Editore,Le scie,1997,215
Fiabe,Miti e leggende degli indiani d'America,Fabbri Editori,I grandi classici della fiaba,2002,267
"Filipović, Zlata",Diario di Zlata. Una bambina racconta Sarajevo sotto le bombe,Rizzoli,BUR Saggi,2014,166
"Fitzgerald, Francis Scott",Il cuorioso caso di Benjamin Button ,Mondadori,Romanzi dei grandi film,2009,109
"Fitzgerald, Francis Scott",Racconti dell'età del jazz,Oscar Mondadori,Narrativa,2009,419
"Flaubert, Gustave",Madame Bovary (In Francese),Garnier-Flammarion,,1966,441
"Flaubert, Gustave",L'educazione sentimentale,Crescere Edizioni,,2014,476
"Flaubert, Gustave",Le cento pagine più belle,Case Editrici,Ex Libris,1981,116
"Fogazzaro, Antonio",Piccolo mondo antico,Fabbri Editori,,1989,333
"Fogazzaro, Antonio",Piccolo mondo antico,Istituto Geografico De Agostini,Tesori della Narrativa Universale,1987,438
"Fogazzaro, Antonio",Malombra,Arnoldo Mondadori Editore,Gli Oscar. I libri settimanali Mondadori,1965,408
"Fogazzaro, Antonio",Il Santo,Arnoldo Mondadori Editore,Gli Oscar,1970,333
"Forster, Edward Morgan",Passaggio in India,Arnoldo Mondadori Editore,Oscar narrativa,1981,318
"Forster, Edward Morgan",Passaggio in India,Giulio Einaudi editore,Club ,1985,355
"Forster, Edward Morgan",Casa Howard,Newton Compton editori,Biblioteca Economica Newton - Classici,1996,245
"Franceschini, Enrico",L'uomo della Città Vecchia,GEDI - Gruppo Editoriale,Noirissimo,2018,250
"Francesconi, Maurizio - Martini, Alessandro",111 luoghi di Torino che devi proprio scoprire,Emons Verlag GmbH,Emons:,2018,231
"Frank, Anna",Il diario di Anna Frank,Arnoldo Mondadori Editore,Il Bosco,1964,235
"Fratus, Tiziano",L'Italia è un bosco. Storie di grandi alberi con radici e qualche fronda,Editori Laterza,Economica Laterza,2016,190
"Freud, Sigmund",Doiario di una giovinetta,Sugar editore,Week-end,1966,217
"Freud, Sigmund",Il sogno e la sua interpretazione,Newton Compton editori,Live,2013,123
"Fridrich, Ernest",Guerra alla guerra. 1914-1918: scene di orrore quotidiano,Arnoldo Mondadori Editore,Piccola Biblioteca Oscar,2004,237
"Fromm, Erich",Avere o essere?,Arnoldo Mondadori Editore,Oscar saggi,1995,220
"Fromm, Erich",L'arte di amare,Il Saggiatore,Catalogo 2,1981,128
"Fromm, Erich",L'arte di amare,Arnoldo Mondadori Editore,Bestsellers,2007,138
"Gaeta, Saverio",Papa Francesco. La vita e le sfide,Edizioni San Paolo,,2013,111
"Galasso, Alfredo; Siino, Angelo",Mafia. Vita di un uomo di mondo,Adriano Salani Editore,,2017,173
"Galilei, Galileo",Sidereus nuncius,Corriere della sera,I classici del pensiero libero,2011,117
"Gallo, Carmine","Essere Steve Jobs. La gente non sa come dirlo, lui sì",Sperling & Kupfer Editori,Varia economica,2011,252
"Garcìa Lorca, Federico",Poesie. (Libro de poemas),Newton Compton editori,Paperbacks poeti / 1,1972,272
"Garcìa Lorca, Federico",Tutte le poesie. Volume primo (Con testo a fronte),Garzanti Editore,I Garzanti. I Grandi Libri,1975,539
"Garcìa Lorca, Federico",Tutte le poesie. Volume secondo (Con testo a fronte),Garzanti Editore,I Garzanti. I Grandi Libri,1975,1029
"García Márquez, Gabriel",Cronaca di una morte annunciata,Oscar Mondadori,Bestsellers Oscar Mondadori,1986,126
"García Márquez, Gabriel",Dell'amore e di altri demoni,Mondadori - De Agostini Libri,Miti Collection,1998,201
"García Márquez, Gabriel",Dell'amore e di altri demoni,Oscar Mondadori,Bestsellers Oscar Mondadori,1995,201
"García Márquez, Gabriel",I funerali della Mamá Grande,Oscar Mondadori,,1987,128
"García Márquez, Gabriel",Il generale nel suo labirinto,Arnoldo Mondadori ,,1989,286
"García Márquez, Gabriel",Il generale nel suo labirinto,Arnoldo Mondadori ,Bestsellers Oscar Mondadori,1999,286
"García Márquez, Gabriel",L'amore ai tempi del colera,Arnoldo Mondadori ,,1986,333
"García Márquez, Gabriel",L'amore ai tempi del colera,Arnoldo Mondadori ,Bestsellers Oscar Mondadori,1999,370
"García Márquez, Gabriel",L'amore ai tempi del colera,Oscar Mondadori,Oscar scrittori moderni,2011,376
"García Márquez, Gabriel",Cent'anni di solitudine,Arnoldo Mondadori Editore,Oscar Mondadori,2020,378
"Garneri, Giuseppe",Tra rischi e pericoli,Editrice Alzani - Pinerolo,,1981,174
